,alpha,beta,depth,gof,hemi,model,ns,power,subject
211,0.0,0.2,0.9,0.7612545359297639,rh,lasso,15.0,0.0,CC120166
212,0.0,0.7,0.9,0.2035472082261126,lh,lasso,0.0,0.0,CC120166
213,0.0,0.7,0.9,0.2035472082261126,rh,lasso,3.0,0.0,CC120166
214,0.0,0.5,0.9,0.3285560353648913,lh,lasso,0.0,0.0,CC120166
215,0.0,0.5,0.9,0.3285560353648913,rh,lasso,4.0,0.0,CC120166
216,0.0,0.1,0.9,0.9144637088352522,lh,lasso,19.0,0.0,CC120166
217,0.0,0.1,0.9,0.9144637088352522,rh,lasso,19.0,0.0,CC120166
218,0.0,0.3,0.9,0.5944932750360512,lh,lasso,3.0,0.0,CC120166
219,0.0,0.3,0.9,0.5944932750360512,rh,lasso,13.0,0.0,CC120166
220,0.0,0.25,0.9,0.7388209658643967,lh,lasso,13.0,0.0,CC120182
221,0.0,0.25,0.9,0.7388209658643967,rh,lasso,14.0,0.0,CC120182
222,0.0,0.15,0.9,0.8736916811287169,lh,lasso,19.0,0.0,CC120182
223,0.0,0.15,0.9,0.8736916811287169,rh,lasso,23.0,0.0,CC120182
224,0.0,0.8,0.9,0.16373555767476156,lh,lasso,1.0,0.0,CC120182
225,0.0,0.8,0.9,0.16373555767476156,rh,lasso,3.0,0.0,CC120182
226,0.0,0.4,0.9,0.531175975567229,lh,lasso,5.0,0.0,CC120182
227,0.0,0.4,0.9,0.531175975567229,rh,lasso,7.0,0.0,CC120182
228,0.0,0.6,0.9,0.31996371223694475,lh,lasso,1.0,0.0,CC120182
229,0.0,0.6,0.9,0.31996371223694475,rh,lasso,4.0,0.0,CC120182
230,0.0,0.2,0.9,0.8052743294702577,lh,lasso,17.0,0.0,CC120182
231,0.0,0.2,0.9,0.8052743294702577,rh,lasso,15.0,0.0,CC120182
232,0.0,0.7,0.9,0.24571626915242983,lh,lasso,1.0,0.0,CC120182
233,0.0,0.7,0.9,0.24571626915242983,rh,lasso,4.0,0.0,CC120182
234,0.0,0.5,0.9,0.4082522798656407,lh,lasso,1.0,0.0,CC120182
235,0.0,0.5,0.9,0.4082522798656407,rh,lasso,8.0,0.0,CC120182
236,0.0,0.1,0.9,0.9308883337588794,lh,lasso,22.0,0.0,CC120182
237,0.0,0.1,0.9,0.9308883337588794,rh,lasso,23.0,0.0,CC120182
238,0.0,0.3,0.9,0.6669433117337811,lh,lasso,9.0,0.0,CC120182
239,0.0,0.3,0.9,0.6669433117337811,rh,lasso,11.0,0.0,CC120182
240,0.0,0.25,0.9,0.7147706360465266,lh,lasso,7.0,0.0,CC120218
241,0.0,0.25,0.9,0.7147706360465266,rh,lasso,13.0,0.0,CC120218
242,0.0,0.15,0.9,0.846119183635252,lh,lasso,10.0,0.0,CC120218
243,0.0,0.15,0.9,0.846119183635252,rh,lasso,20.0,0.0,CC120218
244,0.0,0.8,0.9,0.13735903422259266,lh,lasso,2.0,0.0,CC120218
245,0.0,0.8,0.9,0.13735903422259266,rh,lasso,1.0,0.0,CC120218
246,0.0,0.4,0.9,0.5318995384695389,lh,lasso,4.0,0.0,CC120218
247,0.0,0.4,0.9,0.5318995384695389,rh,lasso,7.0,0.0,CC120218
248,0.0,0.6,0.9,0.30161145663592404,lh,lasso,2.0,0.0,CC120218
249,0.0,0.6,0.9,0.30161145663592404,rh,lasso,3.0,0.0,CC120218
250,0.0,0.2,0.9,0.7780224989034246,lh,lasso,9.0,0.0,CC120218
251,0.0,0.2,0.9,0.7780224989034246,rh,lasso,20.0,0.0,CC120218
252,0.0,0.7,0.9,0.2199261696523206,lh,lasso,2.0,0.0,CC120218
253,0.0,0.7,0.9,0.2199261696523206,rh,lasso,1.0,0.0,CC120218
254,0.0,0.5,0.9,0.40419090733898155,lh,lasso,2.0,0.0,CC120218
255,0.0,0.5,0.9,0.40419090733898155,rh,lasso,5.0,0.0,CC120218
256,0.0,0.1,0.9,0.9083672316858279,lh,lasso,14.0,0.0,CC120218
257,0.0,0.1,0.9,0.9083672316858279,rh,lasso,28.0,0.0,CC120218
258,0.0,0.3,0.9,0.6515612897925254,lh,lasso,5.0,0.0,CC120218
259,0.0,0.3,0.9,0.6515612897925254,rh,lasso,9.0,0.0,CC120218
260,0.0,0.25,0.9,0.7017866121205599,lh,lasso,17.0,0.0,CC120264
261,0.0,0.25,0.9,0.7017866121205599,rh,lasso,10.0,0.0,CC120264
262,0.0,0.15,0.9,0.8417043382927806,lh,lasso,23.0,0.0,CC120264
263,0.0,0.15,0.9,0.8417043382927806,rh,lasso,18.0,0.0,CC120264
264,0.0,0.8,0.9,0.08862499641206567,lh,lasso,1.0,0.0,CC120264
265,0.0,0.8,0.9,0.08862499641206567,rh,lasso,1.0,0.0,CC120264
266,0.0,0.4,0.9,0.4556974052863504,lh,lasso,10.0,0.0,CC120264
267,0.0,0.4,0.9,0.4556974052863504,rh,lasso,8.0,0.0,CC120264
268,0.0,0.6,0.9,0.20813767402168948,lh,lasso,1.0,0.0,CC120264
269,0.0,0.6,0.9,0.20813767402168948,rh,lasso,2.0,0.0,CC120264
270,0.0,0.2,0.9,0.7733400585202219,lh,lasso,18.0,0.0,CC120264
271,0.0,0.2,0.9,0.7733400585202219,rh,lasso,12.0,0.0,CC120264
272,0.0,0.7,0.9,0.15262308928162027,lh,lasso,1.0,0.0,CC120264
273,0.0,0.7,0.9,0.15262308928162027,rh,lasso,2.0,0.0,CC120264
274,0.0,0.5,0.9,0.3059894337037814,lh,lasso,3.0,0.0,CC120264
275,0.0,0.5,0.9,0.3059894337037814,rh,lasso,4.0,0.0,CC120264
276,0.0,0.1,0.9,0.9078335055549943,lh,lasso,25.0,0.0,CC120264
277,0.0,0.1,0.9,0.9078335055549943,rh,lasso,23.0,0.0,CC120264
278,0.0,0.3,0.9,0.6250181362411587,lh,lasso,14.0,0.0,CC120264
279,0.0,0.3,0.9,0.6250181362411587,rh,lasso,9.0,0.0,CC120264
280,0.0,0.25,0.9,0.7810606578826836,lh,lasso,8.0,0.0,CC120309
281,0.0,0.25,0.9,0.7810606578826836,rh,lasso,9.0,0.0,CC120309
282,0.0,0.15,0.9,0.8909156976650654,lh,lasso,15.0,0.0,CC120309
283,0.0,0.15,0.9,0.8909156976650654,rh,lasso,12.0,0.0,CC120309
284,0.0,0.8,0.9,0.11312671121122742,lh,lasso,1.0,0.0,CC120309
285,0.0,0.8,0.9,0.11312671121122742,rh,lasso,1.0,0.0,CC120309
286,0.0,0.4,0.9,0.5765567073164557,lh,lasso,3.0,0.0,CC120309
287,0.0,0.4,0.9,0.5765567073164557,rh,lasso,6.0,0.0,CC120309
288,0.0,0.6,0.9,0.34214314389959655,lh,lasso,1.0,0.0,CC120309
289,0.0,0.6,0.9,0.34214314389959655,rh,lasso,2.0,0.0,CC120309
290,0.0,0.2,0.9,0.8378062959639927,lh,lasso,12.0,0.0,CC120309
291,0.0,0.2,0.9,0.8378062959639927,rh,lasso,10.0,0.0,CC120309
292,0.0,0.7,0.9,0.23533744303606086,lh,lasso,1.0,0.0,CC120309
293,0.0,0.7,0.9,0.23533744303606086,rh,lasso,1.0,0.0,CC120309
294,0.0,0.5,0.9,0.45725459208170904,lh,lasso,2.0,0.0,CC120309
295,0.0,0.5,0.9,0.45725459208170904,rh,lasso,3.0,0.0,CC120309
296,0.0,0.1,0.9,0.9350360130336272,lh,lasso,18.0,0.0,CC120309
297,0.0,0.1,0.9,0.9350360130336272,rh,lasso,16.0,0.0,CC120309
298,0.0,0.3,0.9,0.71459367920561,lh,lasso,6.0,0.0,CC120309
299,0.0,0.3,0.9,0.71459367920561,rh,lasso,8.0,0.0,CC120309
300,0.0,0.25,0.9,0.6800416503431848,lh,lasso,4.0,0.0,CC120313
301,0.0,0.25,0.9,0.6800416503431848,rh,lasso,6.0,0.0,CC120313
302,0.0,0.15,0.9,0.8114353631824811,lh,lasso,11.0,0.0,CC120313
303,0.0,0.15,0.9,0.8114353631824811,rh,lasso,12.0,0.0,CC120313
304,0.0,0.8,0.9,0.1429428603841294,lh,lasso,1.0,0.0,CC120313
305,0.0,0.8,0.9,0.1429428603841294,rh,lasso,0.0,0.0,CC120313
306,0.0,0.4,0.9,0.515371172130008,lh,lasso,3.0,0.0,CC120313
307,0.0,0.4,0.9,0.515371172130008,rh,lasso,2.0,0.0,CC120313
308,0.0,0.6,0.9,0.2805665087978284,lh,lasso,2.0,0.0,CC120313
309,0.0,0.6,0.9,0.2805665087978284,rh,lasso,0.0,0.0,CC120313
310,0.0,0.2,0.9,0.7396376981122851,lh,lasso,9.0,0.0,CC120313
311,0.0,0.2,0.9,0.7396376981122851,rh,lasso,9.0,0.0,CC120313
312,0.0,0.7,0.9,0.20451212397240337,lh,lasso,2.0,0.0,CC120313
313,0.0,0.7,0.9,0.20451212397240337,rh,lasso,0.0,0.0,CC120313
314,0.0,0.5,0.9,0.40017722899684305,lh,lasso,3.0,0.0,CC120313
315,0.0,0.5,0.9,0.40017722899684305,rh,lasso,2.0,0.0,CC120313
316,0.0,0.1,0.9,0.8846146107120333,lh,lasso,17.0,0.0,CC120313
317,0.0,0.1,0.9,0.8846146107120333,rh,lasso,15.0,0.0,CC120313
318,0.0,0.3,0.9,0.6291774246676979,lh,lasso,4.0,0.0,CC120313
319,0.0,0.3,0.9,0.6291774246676979,rh,lasso,3.0,0.0,CC120313
320,0.0,0.25,0.9,0.7181495852061847,lh,lasso,9.0,0.0,CC120319
321,0.0,0.25,0.9,0.7181495852061847,rh,lasso,16.0,0.0,CC120319
322,0.0,0.15,0.9,0.8490934507298828,lh,lasso,13.0,0.0,CC120319
