,V1_count,V1_geod,V1_max,alpha,beta,depth,ffa_count,ffa_geod,ffa_max,ffg_count,ffg_geod,ffg_max,gof,hemi,model,n_tasks,ns,power,source_max,subject
4593,0.1111111111111111,4.8144999098585135,0.03726216627687211,0,0.2,0.9,0.0,5.9494355364224445,0.0,0.1111111111111111,5.047097148802685,0.30896269912891555,0.1238354182899466,rh,mwe-S16,16.0,44.0,1.0,72.86262525766443,sub011
4594,0.0,3.4496178561939215,0.03199067401269879,0,0.2,0.9,0.0,4.281141883297644,0.060904041224759016,0.1111111111111111,3.846074931340928,0.2369842451488596,0.00154287181877788,lh,mwe-S16,16.0,39.0,1.0,1.0189742506360984,sub012
4595,0.0,9.6442199695922,0.0005276293208121704,0,0.2,0.9,0.1111111111111111,10.309039975104698,0.23857061013218261,0.1111111111111111,10.075667716068477,0.23857061013218261,0.00154287181877788,rh,mwe-S16,16.0,45.0,1.0,3.039603442632856,sub012
4596,0.0,5.058671937540787,0.0,0,0.2,0.9,0.0,4.603179135464109,0.013546706533937147,0.0,4.150065969330568,0.013546706533937147,-0.0006303833036600537,lh,mwe-S16,16.0,37.0,1.0,7.67075792489921,sub013
4597,0.0,4.796992335200673,0.0,0,0.2,0.9,0.0,5.673177118212887,0.020988872261325786,0.2222222222222222,4.775169123909767,0.18637067050222988,-0.0006303833036600537,rh,mwe-S16,16.0,45.0,1.0,2.1000224054109498,sub013
4598,0.1111111111111111,2.332173053770511,0.35794482185059534,0,0.2,0.9,0.1111111111111111,8.779944045952023,0.2303032632078922,0.2222222222222222,8.159390484495672,0.2303032632078922,0.08801282666595367,lh,mwe-S16,16.0,43.0,1.0,4.306932205676306,sub014
4599,0.1111111111111111,16.43491694965613,0.14186932787849826,0,0.2,0.9,0.0,12.600782830018515,0.0,0.3333333333333333,13.481434293156914,0.8825502456463502,0.08801282666595367,rh,mwe-S16,16.0,51.0,1.0,12.032391426726663,sub014
4600,0.0,2.9570838575254066,0.037853091807458224,0,0.2,0.9,0.0,5.179090076659146,0.0,0.1111111111111111,4.639145567020486,0.23471366626454868,0.027273492881289996,lh,mwe-S16,16.0,52.0,1.0,7.087832685744606,sub015
4601,0.0,3.3397274710654554,0.0,0,0.2,0.9,0.0,10.207101983815857,0.0,0.1111111111111111,8.637904318907271,0.11169693499867996,0.027273492881289996,rh,mwe-S16,16.0,35.0,1.0,9.795356486576056,sub015
4602,0.1111111111111111,8.48139276855756,0.7105401346972013,0,0.2,0.9,0.1111111111111111,10.097877469624406,0.4378255482604955,0.1111111111111111,9.339916657480085,0.4378255482604955,0.4806944810801719,lh,mwe-S16,16.0,46.0,1.0,6.457136063436754,sub017
