,alpha,beta,depth,gof,hemi,model,n_tasks,ns,power,subject
239,10.0,0.1,0.9,0.0042879064753965634,rh,mwe-S32,32.0,2557.0,1.0,CC121106
240,10.0,0.1,0.9,0.0007360858393405945,lh,mwe-S32,32.0,2558.0,1.0,CC121111
241,10.0,0.1,0.9,0.0007360858393405945,rh,mwe-S32,32.0,2550.0,1.0,CC121111
242,10.0,0.1,0.9,0.001968340107218136,lh,mwe-S32,32.0,2554.0,1.0,CC121144
243,10.0,0.1,0.9,0.001968340107218136,rh,mwe-S32,32.0,2552.0,1.0,CC121144
244,10.0,0.1,0.9,0.0034738515176320206,lh,mwe-S32,32.0,2554.0,1.0,CC121411
245,10.0,0.1,0.9,0.0034738515176320206,rh,mwe-S32,32.0,2557.0,1.0,CC121411
246,10.0,0.1,0.9,0.0010497913066696007,lh,mwe-S32,32.0,2554.0,1.0,CC121428
247,10.0,0.1,0.9,0.0010497913066696007,rh,mwe-S32,32.0,2547.0,1.0,CC121428
248,10.0,0.1,0.9,0.002614823552109957,lh,mwe-S32,32.0,2553.0,1.0,CC122172
249,10.0,0.1,0.9,0.002614823552109957,rh,mwe-S32,32.0,2549.0,1.0,CC122172
250,10.0,0.1,0.9,0.007165510053561142,lh,mwe-S32,32.0,2557.0,1.0,CC210519
251,10.0,0.1,0.9,0.007165510053561142,rh,mwe-S32,32.0,2551.0,1.0,CC210519
252,10.0,0.1,0.9,0.0027559776260691615,lh,mwe-S32,32.0,2558.0,1.0,CC220526
253,10.0,0.1,0.9,0.0027559776260691615,rh,mwe-S32,32.0,2559.0,1.0,CC220526
254,10.0,0.1,0.9,0.004015422669885971,lh,mwe-S32,32.0,2555.0,1.0,CC221373
255,10.0,0.1,0.9,0.004015422669885971,rh,mwe-S32,32.0,2550.0,1.0,CC221373
256,7.0,0.15,0.9,0.0057650880234946245,lh,mwe-S32,32.0,2560.0,1.0,CC110033
257,7.0,0.15,0.9,0.0057650880234946245,rh,mwe-S32,32.0,2555.0,1.0,CC110033
258,7.0,0.15,0.9,0.003328604681777758,lh,mwe-S32,32.0,2556.0,1.0,CC110101
259,7.0,0.15,0.9,0.003328604681777758,rh,mwe-S32,32.0,2557.0,1.0,CC110101
260,7.0,0.15,0.9,0.005535569109480942,lh,mwe-S32,32.0,2559.0,1.0,CC110187
261,7.0,0.15,0.9,0.005535569109480942,rh,mwe-S32,32.0,2556.0,1.0,CC110187
262,7.0,0.15,0.9,0.006698141018042669,lh,mwe-S32,32.0,2555.0,1.0,CC110411
263,7.0,0.15,0.9,0.006698141018042669,rh,mwe-S32,32.0,2559.0,1.0,CC110411
264,7.0,0.15,0.9,0.0016621508851524247,lh,mwe-S32,32.0,2559.0,1.0,CC110606
265,7.0,0.15,0.9,0.0016621508851524247,rh,mwe-S32,32.0,2556.0,1.0,CC110606
266,7.0,0.15,0.9,0.0025520536769547686,lh,mwe-S32,32.0,2557.0,1.0,CC112141
267,7.0,0.15,0.9,0.0025520536769547686,rh,mwe-S32,32.0,2560.0,1.0,CC112141
268,7.0,0.15,0.9,0.0026566942994807885,lh,mwe-S32,32.0,2561.0,1.0,CC120008
269,7.0,0.15,0.9,0.0026566942994807885,rh,mwe-S32,32.0,2560.0,1.0,CC120008
